predicate,count
had,949
became,890
made,780
used,760
began,674
has,637
known,543
called,529
he,523
have,475
his,469
including,445
played,417
found,387
held,384
named,360
released,354
took,349
went,342
won,340
i,338
led,335
left,331
include,318
formed,317
based,317
it,317
returned,303
they,294
built,294
become,286
appointed,283
take,280
married,276
according,275
following,275
joined,271
considered,270
created,249
caused,249
came,239
appeared,238
brought,233
provides,233
she,230
ended,229
published,225
using,217
started,213
born,212
received,209
their,208
continued,208
included,207
served,204
live,202
do,201
use,201
died,198
reported,197
founded,192
killed,190
said,188
changed,186
living,185
launched,185
seen,183
developed,183
renamed,177
opened,175
we,174
produced,170
moved,167
making,166
put,166
given,166
saw,164
removed,162
working,162
ran,161
see,160
lost,156
taking,156
recorded,151
believe,151
leave,149
make,149
established,145
defeated,145
worked,144
set,143
produce,143
introduced,142
passed,142
help,142
you,141
suffered,141
support,139
play,139
prevent,137
covered,136
referred,136
ordered,135
speak,135
told,135
starting,135
described,135
find,135
hit,134
retired,133
keep,132
that,130
mentioned,129
sold,129
give,128
sent,128
john,127
influenced,127
show,127
provided,127
broke,125
did,125
taken,125
involved,124
met,122
placed,121
includes,121
erected,120
spread,120
provide,120
featuring,120
converted,119
invited,119
go,117
her,116
proposed,116
required,115
presented,115
designed,115
recognized,115
helped,114
confirmed,114
leaving,114
asked,114
featured,113
operate,112
announced,112
leading,112
means,111
adopted,110
him,109
operates,109
forced,109
stated,107
maintain,107
will,106
contained,106
arrested,106
owned,105
pay,105
n't,102
get,102
closed,102
combined,101
allow,101
involving,100
declared,99
buried,99
dropped,99
belonged,98
moving,97
shows,96
offered,96
finished,96
work,95
writing,95
captured,93
awarded,93
wrote,93
chosen,93
obtained,92
identified,92
split,92
achieve,92
building,91
call,91
who,90
kept,90
lived,89
receive,89
offers,89
study,89
increase,88
holds,88
signed,88
separated,87
avoid,87
elected,87
run,87
form,87
regarded,86
needed,86
replaced,86
accused,86
them,85
applied,85
remained,85
providing,85
plays,85
distributed,85
finds,84
added,84
killing,84
relocated,84
contains,84
controlled,83
spent,82
appears,82
its,81
beginning,81
allowed,81
got,81
discovered,81
constructed,81
face,81
written,80
graduated,80
losing,79
occurred,79
serving,79
return,78
accepted,78
starred,78
occurs,78
resulting,77
chose,77
establish,77
features,77
win,77
prepared,76
change,75
ranked,75
defined,74
control,74
associated,74
responded,74
makes,74
followed,74
requires,73
continues,73
depending,73
equipped,73
bring,72
recognize,72
shared,72
uses,71
carried,71
survive,71
knocked,71
becoming,71
directed,71
causing,71
believed,71
which,71
hosted,71
fought,70
begins,70
refused,70
becomes,70
contribute,70
supported,70
destroyed,70
flying,70
perform,70
jump,69
runs,69
extended,68
filed,68
defeat,67
burned,67
indicated,67
incorporated,66
surrounding,66
shot,66
stored,66
indicate,65
completed,65
hosts,65
can,65
reopened,65
taught,65
approved,65
promoted,65
searching,65
giving,65
suggests,65
displaying,64
accept,64
authored,64
follows,64
affected,64
attend,64
commissioned,64
freed,64
appear,64
containing,63
performed,63
studied,63
transferred,63
destroying,63
create,63
settled,62
registered,62
would,62
organized,62
reach,61
reached,61
related,60
gained,60
laid,60
entered,60
broadcast,60
request,59
dedicated,59
not,59
issued,59
takes,59
comprises,58
outlawed,58
honored,58
conduct,58
conducted,58
managed,58
write,58
elevated,58
seek,58
merged,57
executed,57
spoken,57
consists,57
returning,57
subjected,57
pursued,57
holding,57
extending,57
promote,57
proven,57
switched,57
intended,57
expand,57
defended,57
move,57
lose,57
suggested,57
turns,57
visited,56
portrayed,56
demanded,56
know,56
protects,56
allowing,56
end,55
surprised,55
deal,54
sell,54
running,54
bleeding,54
pass,54
remains,54
beat,53
declined,53
raised,53
hiding,53
addressed,53
playing,53
increased,52
organizing,52
does,52
