id,diagnostic,question_type,question,target_role,predicted_role,expected_answer,predicted_answer,exact_match,token_f1,role_accuracy,confidence,predicate,correction_steps,reasoning
challenge_v2_001,agency_minimal_pair,WHO,Who hired Rahul?,ARG0,ARG0,The company,The company,1.0,1.0,1.0,0.9450000000000001,hired,1,candidate_is_extractable; role_frame_compatible; who_subject_before_predicate
challenge_v2_002,agency_minimal_pair,WHO,Who hired the company?,ARG0,ARG0,Rahul,Rahul,1.0,1.0,1.0,0.9450000000000001,hired,1,candidate_is_extractable; role_frame_compatible; who_subject_before_predicate
challenge_v2_003,location_time_boundary,WHERE,Where was the package delivered?,ARGM-LOC,ARGM-LOC,to the office,to the office,1.0,1.0,1.0,0.9954999999999999,delivered,1,candidate_is_extractable; role_frame_compatible; where_prepositional_phrase
challenge_v2_004,location_time_boundary,WHEN,When was the package delivered?,ARGM-TMP,ARGM-TMP,at noon,at noon,1.0,1.0,1.0,0.997,delivered,1,candidate_is_extractable; role_frame_compatible; when_temporal_phrase
challenge_v2_005,causal_boundary,WHY,Why did the board approve the proposal?,ARGM-CAU,ARGM-CAU,because investors demanded a decision,because investors demanded a decision,1.0,1.0,1.0,0.998,approved,1,candidate_is_extractable; role_frame_compatible; why_causal_marker
challenge_v2_006,transfer_arg2,TO-WHOM,Who received a notebook?,ARG2,ARG2,the intern,the intern,1.0,1.0,1.0,0.9460000000000001,gave,1,candidate_is_extractable; role_frame_compatible; recipient_indirect_object
challenge_v2_007,manner_instrument_boundary,HOW,How did the engineer repair the machine?,ARGM-MNR,ARGM-MNR,carefully,carefully,1.0,1.0,1.0,0.8975,repaired,1,candidate_is_extractable; role_frame_compatible; how_adverb
challenge_v2_008,patient_boundary,WHAT,What did the engineer repair?,ARG1,ARG1,the machine,the machine,1.0,1.0,1.0,0.895,repaired,1,candidate_is_extractable; role_frame_compatible; what_object_after_predicate
challenge_v2_009,time_location_boundary,WHEN,When did the meeting end?,ARGM-TMP,ARGM-TMP,before lunch,before lunch,1.0,1.0,1.0,0.997,meeting,1,candidate_is_extractable; role_frame_compatible; when_temporal_phrase
challenge_v2_010,time_location_boundary,WHERE,Where did the meeting end?,ARGM-LOC,ARGM-LOC,in the conference room,in the conference room,1.0,1.0,1.0,0.9954999999999999,meeting,1,candidate_is_extractable; role_frame_compatible; where_prepositional_phrase
challenge_v2_011,medical_transfer,WHAT,What was administered?,ARG1,ARG1,the medicine,the medicine,1.0,1.0,1.0,0.895,administered,1,candidate_is_extractable; role_frame_compatible; what_object_after_predicate
challenge_v2_012,medical_transfer,TO-WHOM,Who received the medicine?,ARG2,ARG2,the patient,the patient,1.0,1.0,1.0,0.9450000000000001,administered,1,candidate_is_extractable; role_frame_compatible; recipient_to_phrase
challenge_v2_013,nominal_event_location,WHERE,Where was the explosion?,ARGM-LOC,ARGM-LOC,in the warehouse,in the warehouse,1.0,1.0,1.0,0.9954999999999999,examined,1,candidate_is_extractable; role_frame_compatible; where_prepositional_phrase
challenge_v2_014,manner_location_boundary,HOW,How did the students present their project?,ARGM-MNR,ARGM-MNR,enthusiastically,enthusiastically,1.0,1.0,1.0,0.8975,presented,1,candidate_is_extractable; role_frame_compatible; how_adverb
challenge_v2_015,manner_location_boundary,WHERE,Where did the students present their project?,ARGM-LOC,ARGM-LOC,at the science fair,at the science fair,1.0,1.0,1.0,0.9954999999999999,presented,1,candidate_is_extractable; role_frame_compatible; where_prepositional_phrase
