example_id,diagnostic,question_type,target_role,context,question,expected_answer,model_key,model_label,ok,error,predicted_answer,predicted_role,confidence,latency_ms,exact_match,accuracy,token_precision,token_recall,token_f1,bleu,role_accuracy,reasoning
challenge_v2_001,agency_minimal_pair,WHO,ARG0,The company hired Rahul after the interview.,Who hired Rahul?,The company,raise_srlqa_fast,RAISE-SRL-QA Fast,True,,The company,ARG0,0.9450000000000001,75.19750000210479,1.0,1.0,1.0,1.0,1.0,1.0,1.0,candidate_is_extractable; role_frame_compatible; who_subject_before_predicate
challenge_v2_001,agency_minimal_pair,WHO,ARG0,The company hired Rahul after the interview.,Who hired Rahul?,The company,raise_srlqa_model,RAISE-SRL-QA Model,True,,The company,ARG0,0.9479354321956635,13721.684200001619,1.0,1.0,1.0,1.0,1.0,1.0,1.0,candidate_is_extractable; role_frame_compatible; transformer_qa_candidate
challenge_v2_001,agency_minimal_pair,WHO,ARG0,The company hired Rahul after the interview.,Who hired Rahul?,The company,legacy_hybrid,Legacy Hybrid,True,,The company,ARG0,0.7918907740116119,1314.4969000022684,1.0,1.0,1.0,1.0,1.0,1.0,1.0,Question pattern 'WHO' mapped to ARG0. The hybrid reranker aligned the predicate 'hired' and selected 'The company' from baseline evidence because it best matched the expected role.
challenge_v2_001,agency_minimal_pair,WHO,ARG0,The company hired Rahul after the interview.,Who hired Rahul?,The company,legacy_baseline,Legacy PropQA-Net Baseline,True,,The company,ARG0,0.6822269350290299,154.49100000114413,1.0,1.0,1.0,1.0,1.0,1.0,1.0,Legacy PropQA-Net checkpoint prediction.
challenge_v2_002,agency_minimal_pair,WHO,ARG0,Rahul hired the company after the interview.,Who hired the company?,Rahul,raise_srlqa_fast,RAISE-SRL-QA Fast,True,,Rahul,ARG0,0.9450000000000001,6.0325000013108365,1.0,1.0,1.0,1.0,1.0,1.0,1.0,candidate_is_extractable; role_frame_compatible; who_subject_before_predicate
challenge_v2_002,agency_minimal_pair,WHO,ARG0,Rahul hired the company after the interview.,Who hired the company?,Rahul,raise_srlqa_model,RAISE-SRL-QA Model,True,,Rahul,ARG0,0.9499713629484177,411.0088999987056,1.0,1.0,1.0,1.0,1.0,1.0,1.0,candidate_is_extractable; role_frame_compatible; transformer_qa_candidate
challenge_v2_002,agency_minimal_pair,WHO,ARG0,Rahul hired the company after the interview.,Who hired the company?,Rahul,legacy_hybrid,Legacy Hybrid,True,,Rahul,ARG0,0.7955163788199426,380.38349999987986,1.0,1.0,1.0,1.0,1.0,1.0,1.0,Question pattern 'WHO' mapped to ARG0. The hybrid reranker aligned the predicate 'hired' and selected 'Rahul' from baseline evidence because it best matched the expected role.
challenge_v2_002,agency_minimal_pair,WHO,ARG0,Rahul hired the company after the interview.,Who hired the company?,Rahul,legacy_baseline,Legacy PropQA-Net Baseline,True,,Rahul,ARG0,0.6912909470498563,198.2812999995076,1.0,1.0,1.0,1.0,1.0,1.0,1.0,Legacy PropQA-Net checkpoint prediction.
challenge_v2_003,location_time_boundary,WHERE,ARGM-LOC,The courier delivered the package to the office at noon.,Where was the package delivered?,to the office,raise_srlqa_fast,RAISE-SRL-QA Fast,True,,to the office,ARGM-LOC,0.9954999999999999,2.1864999980607536,1.0,1.0,1.0,1.0,1.0,1.0,1.0,candidate_is_extractable; role_frame_compatible; where_prepositional_phrase
challenge_v2_003,location_time_boundary,WHERE,ARGM-LOC,The courier delivered the package to the office at noon.,Where was the package delivered?,to the office,raise_srlqa_model,RAISE-SRL-QA Model,True,,to the office,ARGM-LOC,0.9954999999999999,369.1687999998976,1.0,1.0,1.0,1.0,1.0,1.0,1.0,candidate_is_extractable; role_frame_compatible; where_prepositional_phrase
challenge_v2_003,location_time_boundary,WHERE,ARGM-LOC,The courier delivered the package to the office at noon.,Where was the package delivered?,to the office,legacy_hybrid,Legacy Hybrid,True,,to the office,ARGM-LOC,0.6578571428571428,409.5847999997204,1.0,1.0,1.0,1.0,1.0,1.0,1.0,Question pattern 'WHERE' mapped to ARGM-LOC. The hybrid reranker aligned the predicate 'delivered' and selected 'to the office' from heuristic_location evidence because it best matched the expected role.
challenge_v2_003,location_time_boundary,WHERE,ARGM-LOC,The courier delivered the package to the office at noon.,Where was the package delivered?,to the office,legacy_baseline,Legacy PropQA-Net Baseline,True,,delivered the package to the office at noon,ARG1,0.41984088681638243,166.13350000261562,0.0,0.0,0.375,1.0,0.5454545454545454,0.2984745896009823,0.0,Legacy PropQA-Net checkpoint prediction.
challenge_v2_004,location_time_boundary,WHEN,ARGM-TMP,The courier delivered the package to the office at noon.,When was the package delivered?,at noon,raise_srlqa_fast,RAISE-SRL-QA Fast,True,,at noon,ARGM-TMP,0.997,1.5286999987438321,1.0,1.0,1.0,1.0,1.0,1.0,1.0,candidate_is_extractable; role_frame_compatible; when_temporal_phrase
challenge_v2_004,location_time_boundary,WHEN,ARGM-TMP,The courier delivered the package to the office at noon.,When was the package delivered?,at noon,raise_srlqa_model,RAISE-SRL-QA Model,True,,at noon,ARGM-TMP,0.997,362.1232000004966,1.0,1.0,1.0,1.0,1.0,1.0,1.0,candidate_is_extractable; role_frame_compatible; when_temporal_phrase
challenge_v2_004,location_time_boundary,WHEN,ARGM-TMP,The courier delivered the package to the office at noon.,When was the package delivered?,at noon,legacy_hybrid,Legacy Hybrid,True,,noon,ARGM-TMP,0.6376666666666666,487.4636000022292,0.0,0.0,1.0,0.5,0.6666666666666666,0.36787944117144233,1.0,Question pattern 'WHEN' mapped to ARGM-TMP. The hybrid reranker aligned the predicate 'delivered' and selected 'noon' from heuristic_temporal evidence because it best matched the expected role.
challenge_v2_004,location_time_boundary,WHEN,ARGM-TMP,The courier delivered the package to the office at noon.,When was the package delivered?,at noon,legacy_baseline,Legacy PropQA-Net Baseline,True,,delivered the package to the office at noon,ARG1,0.4425213865935802,160.79479999825708,0.0,0.0,0.25,1.0,0.4,0.21105340631872635,0.0,Legacy PropQA-Net checkpoint prediction.
challenge_v2_005,causal_boundary,WHY,ARGM-CAU,The board approved the proposal because investors demanded a decision.,Why did the board approve the proposal?,because investors demanded a decision,raise_srlqa_fast,RAISE-SRL-QA Fast,True,,because investors demanded a decision,ARGM-CAU,0.998,5.046999998739921,1.0,1.0,1.0,1.0,1.0,1.0,1.0,candidate_is_extractable; role_frame_compatible; why_causal_marker
challenge_v2_005,causal_boundary,WHY,ARGM-CAU,The board approved the proposal because investors demanded a decision.,Why did the board approve the proposal?,because investors demanded a decision,raise_srlqa_model,RAISE-SRL-QA Model,True,,because investors demanded a decision,ARGM-CAU,0.998,404.36509999926784,1.0,1.0,1.0,1.0,1.0,1.0,1.0,candidate_is_extractable; role_frame_compatible; why_causal_marker
challenge_v2_005,causal_boundary,WHY,ARGM-CAU,The board approved the proposal because investors demanded a decision.,Why did the board approve the proposal?,because investors demanded a decision,legacy_hybrid,Legacy Hybrid,True,,because,ARGM-CAU,0.6791303455369198,540.3990999984671,0.0,0.0,1.0,0.2,0.33333333333333337,0.01831563888873418,1.0,Question pattern 'WHY' mapped to ARGM-CAU. The hybrid reranker aligned the predicate 'approved' and selected 'because' from baseline evidence because it best matched the expected role.
challenge_v2_005,causal_boundary,WHY,ARGM-CAU,The board approved the proposal because investors demanded a decision.,Why did the board approve the proposal?,because investors demanded a decision,legacy_baseline,Legacy PropQA-Net Baseline,True,,because,ARGM-CAU,0.4578258638422994,200.8373999997275,0.0,0.0,1.0,0.2,0.33333333333333337,0.01831563888873418,1.0,Legacy PropQA-Net checkpoint prediction.
challenge_v2_006,transfer_arg2,TO-WHOM,ARG2,Maria gave the intern a notebook for the workshop.,Who received a notebook?,the intern,raise_srlqa_fast,RAISE-SRL-QA Fast,True,,the intern,ARG2,0.9460000000000001,6.013099999108817,1.0,1.0,1.0,1.0,1.0,1.0,1.0,candidate_is_extractable; role_frame_compatible; recipient_indirect_object
challenge_v2_006,transfer_arg2,TO-WHOM,ARG2,Maria gave the intern a notebook for the workshop.,Who received a notebook?,the intern,raise_srlqa_model,RAISE-SRL-QA Model,True,,the intern,ARG2,0.9460000000000001,398.12069999970845,1.0,1.0,1.0,1.0,1.0,1.0,1.0,candidate_is_extractable; role_frame_compatible; recipient_indirect_object
challenge_v2_006,transfer_arg2,TO-WHOM,ARG2,Maria gave the intern a notebook for the workshop.,Who received a notebook?,the intern,legacy_hybrid,Legacy Hybrid,True,,the intern,ARG2,0.534,402.3419000004651,1.0,1.0,1.0,1.0,1.0,1.0,1.0,Question pattern 'TO-WHOM' mapped to ARG2. The hybrid reranker aligned the predicate 'gave' and selected 'the intern' from heuristic_recipient evidence because it best matched the expected role.
challenge_v2_006,transfer_arg2,TO-WHOM,ARG2,Maria gave the intern a notebook for the workshop.,Who received a notebook?,the intern,legacy_baseline,Legacy PropQA-Net Baseline,True,,notebook for the workshop,ARG1,0.34540823474526405,195.3560000001744,0.0,0.0,0.25,0.5,0.3333333333333333,0.35930411196308426,0.0,Legacy PropQA-Net checkpoint prediction.
challenge_v2_007,manner_instrument_boundary,HOW,ARGM-MNR,The engineer repaired the machine carefully with a small screwdriver.,How did the engineer repair the machine?,carefully,raise_srlqa_fast,RAISE-SRL-QA Fast,True,,carefully,ARGM-MNR,0.8975,1.0131000017281622,1.0,1.0,1.0,1.0,1.0,1.0,1.0,candidate_is_extractable; role_frame_compatible; how_adverb
challenge_v2_007,manner_instrument_boundary,HOW,ARGM-MNR,The engineer repaired the machine carefully with a small screwdriver.,How did the engineer repair the machine?,carefully,raise_srlqa_model,RAISE-SRL-QA Model,True,,carefully,ARGM-MNR,0.8975,362.54360000020824,1.0,1.0,1.0,1.0,1.0,1.0,1.0,candidate_is_extractable; role_frame_compatible; how_adverb
challenge_v2_007,manner_instrument_boundary,HOW,ARGM-MNR,The engineer repaired the machine carefully with a small screwdriver.,How did the engineer repair the machine?,carefully,legacy_hybrid,Legacy Hybrid,True,,carefully,ARGM-MNR,0.6214285714285714,373.62209999992047,1.0,1.0,1.0,1.0,1.0,1.0,1.0,Question pattern 'HOW' mapped to ARGM-MNR. The hybrid reranker aligned the predicate 'repaired' and selected 'carefully' from heuristic_manner evidence because it best matched the expected role.
challenge_v2_007,manner_instrument_boundary,HOW,ARGM-MNR,The engineer repaired the machine carefully with a small screwdriver.,How did the engineer repair the machine?,carefully,legacy_baseline,Legacy PropQA-Net Baseline,True,,repaired the machine carefully with a small screwdriver,ARG1,0.46025775950402026,217.2104000019317,0.0,0.0,0.125,1.0,0.2222222222222222,0.16036590969929357,0.0,Legacy PropQA-Net checkpoint prediction.
