example_id,diagnostic,question_type,target_role,context,question,expected_answer,model_key,model_label,ok,error,predicted_answer,predicted_role,confidence,latency_ms,exact_match,accuracy,token_precision,token_recall,token_f1,bleu,role_accuracy,reasoning
challenge_v2_003,location_time_boundary,WHERE,ARGM-LOC,The courier delivered the package to the office at noon.,Where was the package delivered?,to the office,legacy_baseline,Legacy PropQA-Net Baseline,True,,delivered the package to the office at noon,ARG1,0.41984088681638243,166.13350000261562,0.0,0.0,0.375,1.0,0.5454545454545454,0.2984745896009823,0.0,Legacy PropQA-Net checkpoint prediction.
challenge_v2_004,location_time_boundary,WHEN,ARGM-TMP,The courier delivered the package to the office at noon.,When was the package delivered?,at noon,legacy_hybrid,Legacy Hybrid,True,,noon,ARGM-TMP,0.6376666666666666,487.4636000022292,0.0,0.0,1.0,0.5,0.6666666666666666,0.36787944117144233,1.0,Question pattern 'WHEN' mapped to ARGM-TMP. The hybrid reranker aligned the predicate 'delivered' and selected 'noon' from heuristic_temporal evidence because it best matched the expected role.
challenge_v2_004,location_time_boundary,WHEN,ARGM-TMP,The courier delivered the package to the office at noon.,When was the package delivered?,at noon,legacy_baseline,Legacy PropQA-Net Baseline,True,,delivered the package to the office at noon,ARG1,0.4425213865935802,160.79479999825708,0.0,0.0,0.25,1.0,0.4,0.21105340631872635,0.0,Legacy PropQA-Net checkpoint prediction.
challenge_v2_005,causal_boundary,WHY,ARGM-CAU,The board approved the proposal because investors demanded a decision.,Why did the board approve the proposal?,because investors demanded a decision,legacy_hybrid,Legacy Hybrid,True,,because,ARGM-CAU,0.6791303455369198,540.3990999984671,0.0,0.0,1.0,0.2,0.33333333333333337,0.01831563888873418,1.0,Question pattern 'WHY' mapped to ARGM-CAU. The hybrid reranker aligned the predicate 'approved' and selected 'because' from baseline evidence because it best matched the expected role.
challenge_v2_005,causal_boundary,WHY,ARGM-CAU,The board approved the proposal because investors demanded a decision.,Why did the board approve the proposal?,because investors demanded a decision,legacy_baseline,Legacy PropQA-Net Baseline,True,,because,ARGM-CAU,0.4578258638422994,200.8373999997275,0.0,0.0,1.0,0.2,0.33333333333333337,0.01831563888873418,1.0,Legacy PropQA-Net checkpoint prediction.
challenge_v2_006,transfer_arg2,TO-WHOM,ARG2,Maria gave the intern a notebook for the workshop.,Who received a notebook?,the intern,legacy_baseline,Legacy PropQA-Net Baseline,True,,notebook for the workshop,ARG1,0.34540823474526405,195.3560000001744,0.0,0.0,0.25,0.5,0.3333333333333333,0.35930411196308426,0.0,Legacy PropQA-Net checkpoint prediction.
challenge_v2_007,manner_instrument_boundary,HOW,ARGM-MNR,The engineer repaired the machine carefully with a small screwdriver.,How did the engineer repair the machine?,carefully,legacy_baseline,Legacy PropQA-Net Baseline,True,,repaired the machine carefully with a small screwdriver,ARG1,0.46025775950402026,217.2104000019317,0.0,0.0,0.125,1.0,0.2222222222222222,0.16036590969929357,0.0,Legacy PropQA-Net checkpoint prediction.
challenge_v2_008,patient_boundary,WHAT,ARG1,The engineer repaired the machine carefully with a small screwdriver.,What did the engineer repair?,the machine,legacy_hybrid,Legacy Hybrid,True,,repaired the machine carefully with a small screwdriver,ARG1,0.6950198293104768,364.7521999992023,0.0,0.0,0.25,1.0,0.4,0.21105340631872635,1.0,Question pattern 'WHAT' mapped to ARG1. The hybrid reranker aligned the predicate 'repaired' and selected 'repaired the machine carefully with a small screwdriver' from baseline evidence because it best matched the expected role.
challenge_v2_008,patient_boundary,WHAT,ARG1,The engineer repaired the machine carefully with a small screwdriver.,What did the engineer repair?,the machine,legacy_baseline,Legacy PropQA-Net Baseline,True,,repaired the machine carefully with a small screwdriver,ARG1,0.450049573276192,139.496899999358,0.0,0.0,0.25,1.0,0.4,0.21105340631872635,1.0,Legacy PropQA-Net checkpoint prediction.
challenge_v2_009,time_location_boundary,WHEN,ARGM-TMP,The meeting ended before lunch in the conference room.,When did the meeting end?,before lunch,legacy_hybrid,Legacy Hybrid,True,,ended before lunch in the conference room,ARG1,0.43853360894748145,378.94690000030096,0.0,0.0,0.2857142857142857,1.0,0.4444444444444445,0.24446151121745052,0.0,"Question pattern 'WHEN' suggested ARGM-TMP, but the strongest available evidence came from baseline with span 'ended before lunch in the conference room'. The baseline answer was 'ended before lunch in the conference room' (ARG1)."
